NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.53030303030303,66,3
Engenharia Florestal (13456),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.523809523809525,21,4
Engenharia Florestal (13456),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.523809523809524,21,4
Geografia (Licenciatura) (13407),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.523809523809524,42,5
Letras-Português (Licenciatura) (1160083),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.522727272727273,44,5
Letras-Português (Licenciatura) (1160083),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.5227272727272725,44,2
Engenharia Ambiental (112282),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.520833333333333,48,6
Química (Licenciatura) (99808),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.52,25,3
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.518518518518519,54,10
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.518518518518518,54,3
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.518518518518518,54,1
Engenharia Mecânica (13442),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.517857142857142,56,11
Pedagogia (Licenciatura) (13410),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.517241379310345,87,6
Pedagogia (Licenciatura) (13452),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.517241379310345,29,1
Geografia (Licenciatura) (120777),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.516129032258065,62,7
Química (Licenciatura) (1152881),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.515151515151515,33,6
Pedagogia (Licenciatura) (13410),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.511363636363637,88,2
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,57,"Professores, carga e avaliação",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.51063829787234,47,5
Geografia (Licenciatura) (120777),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.5102040816326525,49,3
