NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,5.535714285714286,56,7
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.533333333333333,60,4
Ciência Da Computação (Bacharelado) (19641),FMU,SP,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,5.533333333333333,60,1
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.531531531531532,111,5
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.53030303030303,66,4
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.5272727272727264,55,4
Ciência Da Computação (Bacharelado) (111980),UNINOVE,SP,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.527027027027027,74,6
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.526785714285714,112,3
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,5.52542372881356,59,2
Ciência Da Computação (Bacharelado) (57702),UNISINOS,RS,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.525423728813559,59,7
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,5.524590163934426,61,2
Ciência Da Computação (Bacharelado) (1904),PUCRS,RS,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.523809523809524,63,16
Ciência Da Computação (Bacharelado) (14098),UFG,GO,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.523076923076923,65,7
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.519230769230769,52,8
Ciência Da Computação (Bacharelado) (3676),FURB,SC,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.517241379310344,58,9
Ciência Da Computação (Bacharelado) (11730),UNIFOR,CE,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.516666666666667,60,17
