IesCd;IesNome;IesSigla;IesSiglaAgrupada;NaturezaJuridica;NaturezaJuridicaMEC;Comunitária;Filantrópica;Confessional;MunicipioCdCompleto
40030016;Centro Universitário de Maringá;UNICESUMAR;UNICESUMAR;Particular;Privada com fins lucrativos;;;;4115200
32053010;UNIVERSIDADE FUMEC;FUMEC;FUMEC;Particular;Privada sem fins lucrativos;;;;3106200
40024016;UNIVERSIDADE NORTE DO PARANÁ;UNOPAR;UNOPAR;Particular;Privada com fins lucrativos;;;;4113700
40075010;INSTITUTO AGRONÔMICO DO PARANÁ;IAPAR;IAPAR;Pública Estadual;Pública Estadual;;;;4113700
41020014;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;UFFS;Pública Federal;Pública Federal;;;;4113304
40031012;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ;UENP;UENP;Pública Estadual;Pública Estadual;;;;4102406
40014010;UNIVERSIDADE ESTADUAL DO CENTRO-OESTE;UNICENTRO;UNICENTRO;Pública Estadual;Pública Estadual;;;;4109401
40043010;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;UNILA;UNILA;Pública Federal;Pública Federal;;;;4108304
33150010;FUNDO DE DEFESA DA CITRICULTURA (FUNDECITRUS);FUNDECITRU;FUNDECITRU;Particular;Privada sem fins lucrativos;;;;3503208
40022013;UNIVERSIDADE POSITIVO;UP;UP;Particular;Privada com fins lucrativos;;;;4106902
42009014;Fundação Universidade de Passo Fundo;FUPF;FUPF;Particular;Privada sem fins lucrativos;SIM;;;4314100
30015014;Faculdade Vale do Cricaré;FVC;FVC;Particular;Privada sem fins lucrativos;;;;3204906
40020010;UNIVERSIDADE TUIUTI DO PARANÁ;UTP;UTP;Particular;Privada com fins lucrativos;;;;4106902
40029018;CENTRO UNIVERSITÁRIO CURITIBA;UNICURITIBA;UNICURITIBA;Particular;Privada com fins lucrativos;;;;4106902
40036014;Centro Universitário Autônomo do Brasil;UNIBRASIL;UNIBRASIL;Particular;Privada com fins lucrativos;;;;4106902
40051013;Centro Universitário Internacional;UNINTER;UNINTER;Particular;Privada com fins lucrativos;;;;4106902
33158010;FUNDAÇÃO PIO XII - HOSPITAL DE CÂNCER DE BARRETOS;HCB;HCB;Particular;Privada sem fins lucrativos;;;;3505500
33160015;INSTITUTO SÍRIO-LIBANÊS DE ENSINO E PESQUISA;IEP;IEP;Particular;Privada sem fins lucrativos;;;;3550308
33280010;INSTITUTO DE ENSINO E PESQUISA ALBERTO SANTOS DUMONT;IEPASD;IEPASD;Particular;Privada sem fins lucrativos;;;;2407104
32058020;INST. DE ENSINO E PESQUISA DA SANTA CASA DE BELO HORIZONTE;IEPSC;IEPSC;Particular;Privada sem fins lucrativos;;;;3106200
40041018;FACULDADE ILAPEO;ILAPEO;ILAPEO;Particular;Privada com fins lucrativos;;;;4106902
31003010;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;UFF;Pública Federal;Pública Federal;;;;3301009
25005014;INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA;IMIP;IMIP;Particular;Privada sem fins lucrativos;;SIM;;2611606
